name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
ngc142,0,31,8.08,-22,37,7.2
ngc143,0,31,15.62,-22,33,35.8
ngc144,0,31,20.67,-22,38,44.6
ngc145,0,31,45.74,-5,9,9.5
ngc146,0,33,3.94,63,18,32.4
ngc147,0,33,12.12,48,30,31.5
ngc148,0,34,15.5,-31,47,9.6
ngc149,0,33,50.26,30,43,24.3
ngc150,0,34,15.48,-27,48,12.9
ngc151,0,34,2.79,-9,42,19.2
ngc152,0,32,52.46,-73,7,13.4
ngc153,0,34,2.79,-9,42,19.2
ngc154,0,34,19.47,-12,39,22.7
ngc155,0,34,40.08,-10,45,59.4
ngc156,0,34,35.82,-8,20,24.2
ngc157,0,34,46.76,-8,23,47.2
ngc158,0,35,5.6,-8,20,44.6
ngc159,0,34,35.53,-55,47,23.9
ngc160,0,36,4.06,23,57,28.4
ngc161,0,35,33.94,-2,50,55.3
ngc162,0,36,9.26,23,57,44.7
ngc163,0,35,59.83,-10,7,18.1
ngc164,0,36,32.91,2,44,59.2
ngc165,0,36,28.92,-10,6,22.2
ngc166,0,35,48.78,-13,36,38.3
ngc167,0,35,23.09,-23,22,30.0
ngc168,0,36,38.66,-22,35,36.6
ngc169,0,36,51.6,23,59,27.3
ngc0169a,0,36,52.33,23,59,5.9
ngc170,0,36,45.82,1,53,11.3
ngc171,0,37,21.53,-19,56,3.3
ngc172,0,37,13.61,-22,35,13.3
ngc173,0,37,12.47,1,56,32.1
ngc174,0,36,58.94,-29,28,40.2
ngc175,0,37,21.53,-19,56,3.3
ngc176,0,35,57.87,-73,9,59.0
ngc177,0,37,34.34,-22,32,57.3
ngc178,0,39,8.4,-14,10,22.2
ngc179,0,37,46.28,-17,50,58.1
ngc180,0,37,57.7,8,38,6.7
ngc181,0,38,23.21,29,28,21.3
ngc182,0,38,12.38,2,43,42.8
ngc183,0,38,29.39,29,30,40.4
ngc184,0,38,35.78,29,26,51.4
ngc185,0,38,57.97,48,20,14.6
ngc186,0,38,25.3,3,9,59.2
ngc187,0,39,30.41,-14,39,22.7
ngc188,0,47,27.53,85,16,10.7
ngc189,0,39,35.7,61,5,40.1
ngc190,0,38,54.7,7,3,35.0
ngc0190 ned01,0,38,54.68,7,3,45.7
ngc0190 ned02,0,38,54.73,7,3,24.2
ngc191,0,38,59.44,-9,0,9.4
ngc0191a,0,39,0.24,-9,0,52.5
ngc192,0,39,13.43,0,51,51.6
ngc193,0,39,18.59,3,19,52.0
ngc194,0,39,18.42,3,2,14.8
ngc195,0,39,35.79,-9,11,40.3
ngc196,0,39,17.84,0,54,45.9
ngc197,0,39,18.79,0,53,30.9
ngc198,0,39,22.98,2,47,52.5
ngc199,0,39,33.17,3,8,18.7
ngc200,0,39,34.88,2,53,14.8
ngc201,0,39,34.82,0,51,35.6
ngc202,0,39,39.85,3,32,10.6
ngc203,0,39,39.53,3,26,34.4
ngc204,0,39,44.27,3,17,58.5
ngc205,0,40,22.08,41,41,7.1
ngc206,0,40,31.3,40,44,21.4
ngc207,0,39,40.71,-14,14,13.5
ngc208,0,40,17.58,2,45,23.4
ngc209,0,39,3.6,-18,36,29.8
ngc210,0,40,35.02,-13,52,22.1
ngc211,0,39,39.53,3,26,34.4
ngc212,0,40,13.33,-56,9,10.9
ngc213,0,41,10.0,16,28,9.8
ngc214,0,41,28.03,25,29,58.0
ngc215,0,40,48.87,-56,12,50.6
ngc216,0,41,27.15,-21,2,43.6
ngc217,0,41,33.89,-10,1,17.1
ngc218,0,46,31.99,36,19,32.2
