name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
pk234+02.1,7,41,54,-18,12,0
pk231+04.1,7,42,6,-14,21,0
pk247-04.1,7,42,24,-32,48,0
pk249-05.1,7,43,18,-34,45,0
pk243-01.1,7,47,24,-27,20,0
pk264-12.1,7,47,18,-51,15,0
pk235+04.1,7,50,0,-17,52,0
pk236+03.1,7,50,12,-19,19,0
pk217+14.1,7,51,36,3,0,0
pk252-04.1,7,52,54,-36,44,0
pk259-09.1,7,52,48,-45,12,0
pk211+18.1,7,55,12,9,33,0
pk241+02.1,7,55,12,-23,38,0
pk164+31.1,7,57,54,53,25,0
pk251-03.1,7,57,12,-36,7,0
pk245+01.1,8,2,30,-27,41,0
pk251-01.1,8,4,12,-34,16,0
pk263-08.1,8,5,12,-48,24,0
pk257-05.1,8,5,36,-41,57,0
pk224+15.1,8,6,48,-2,53,0
pk255-03.1,8,6,30,-38,54,0
pk238+07.2,8,8,42,-19,14,0
pk246+02.1,8,8,36,-27,41,0
pk250+00.1,8,9,6,-32,41,0
pk211+22.1,8,11,12,10,57,0
pk240+07.1,8,10,42,-20,32,0
pk264-08.1,8,11,30,-48,43,0
pk251+00.1,8,13,24,-33,1,0
pk257-02.1,8,16,12,-39,52,0
pk253+00.1,8,20,54,-35,17,0
pk263-05.1,8,20,42,-46,23,0
pk261-04.1,8,21,6,-44,24,0
pk262-04.1,8,23,54,-45,31,0
pk257-00.1,8,27,6,-39,2,0
pk258-00.1,8,28,24,-39,24,0
pk257+00.1,8,30,54,-38,18,0
pk249+06.1,8,31,42,-27,45,0
pk252+04.1,8,31,54,-32,6,0
pk239+13.1,8,33,24,-16,9,0
pk265-04.1,8,34,6,-47,16,0
pk264-03.1,8,34,24,-46,25,0
pk255+03.1,8,36,18,-35,15,0
pk259+00.1,8,37,12,-39,26,0
pk260+00.2,8,37,24,-40,39,0
pk158+37.1,8,41,30,58,14,0
pk244+12.1,8,40,18,-20,55,0
pk254+05.1,8,40,36,-32,23,0
pk256+03.1,8,41,6,-36,3,0
pk260+00.1,8,42,12,-40,44,0
pk265-02.1,8,43,30,-46,7,0
pk267-03.1,8,43,30,-48,55,0
pk208+33.1,8,46,54,17,53,0
pk263+00.1,8,48,42,-42,54,0
pk219+31.1,8,54,12,8,55,0
pk261+02.1,8,53,30,-40,3,0
pk272-05.1,8,53,36,-54,5,0
pk269-03.1,8,54,18,-50,32,0
pk253+10.1,8,57,42,-28,58,0
pk270-02.1,8,59,0,-50,24,0
pk285-14.1,9,7,6,-69,56,0
pk273-03.1,9,8,36,-53,19,0
pk265+04.1,9,12,30,-42,25,0
pk275-04.2,9,13,54,-55,28,0
pk275-04.1,9,15,6,-54,53,0
pk261+08.1,9,16,0,-36,38,0
pk268+02.1,9,16,6,-45,29,0
pk275-03.1,9,18,0,-54,40,0
pk278-06.1,9,19,30,-59,12,0
pk278-05.1,9,21,24,-58,19,0
pk275-02.1,9,22,6,-54,10,0
pk275-02.2,9,24,48,-54,36,0
pk277-03.1,9,27,0,-56,6,0
pk275-01.1,9,30,54,-53,10,0
pk278-04.1,9,30,54,-57,37,0
pk277-03.2,9,31,24,-56,17,0
pk275-01.2,9,34,0,-53,12,0
pk277-01.1,9,37,54,-54,28,0
pk238+34.1,9,39,6,-2,49,0
pk281-05.1,9,38,42,-60,6,0
pk279-03.2,9,40,54,-56,58,0
pk274+02.1,9,41,12,-49,23,0
pk274+02.2,9,41,36,-49,58,0
pk279-03.1,9,43,24,-57,17,0
pk248+29.1,9,45,36,-13,10,0
pk274+03.1,9,47,30,-48,58,0
pk221+46.1,9,53,0,13,45,0
pk273+06.1,9,52,42,-46,17,0
pk279-00.1,9,53,24,-54,52,0
pk280-02.1,9,54,48,-57,19,0
pk277+03.1,9,58,12,-50,39,0
pk284-05.1,10,2,0,-61,58,0
pk283-04.1,10,3,48,-60,44,0
pk274+09.1,10,5,42,-44,22,0
pk272+12.1,10,7,0,-40,27,0
pk286-06.2,10,7,0,-64,22,0
pk286-06.1,10,7,24,-63,55,0
pk285-05.1,10,9,24,-62,37,0
pk280+01.1,10,10,36,-53,56,0
pk296-20.1,10,9,24,-80,52,0
pk280+02.1,10,12,0,-52,38,0
pk278+05.1,10,13,18,-50,20,0
pk282-00.1,10,13,18,-56,56,0
pk283-01.2,10,14,24,-58,12,0
pk283-01.1,10,15,30,-58,51,0
pk286-04.1,10,17,48,-62,40,0
pk285-02.2,10,19,30,-60,13,0
pk285-02.1,10,23,12,-60,32,0
pk261+32.1,10,24,48,-18,38,0
pk285-01.1,10,28,30,-59,3,0
pk282+03.1,10,31,30,-53,33,0
pk283+02.1,10,31,36,-55,20,0
pk270+24.1,10,34,30,-29,12,0
pk283+03.1,10,34,18,-53,41,0
pk288-05.1,10,35,42,-64,20,0
pk285+01.1,10,38,30,-56,47,0
pk285+01.2,10,39,36,-57,7,0
pk285+02.1,10,41,18,-56,10,0
pk288-02.1,10,44,30,-61,40,0
pk286+02.1,10,48,48,-56,3,0
pk288-00.1,10,54,0,-60,27,0
pk283+09.1,10,54,42,-48,47,0
pk288+00.1,10,54,36,-59,10,0
pk289-01.1,10,56,6,-61,28,0
pk288+00.2,10,59,42,-59,1,0
pk291-04.1,11,0,18,-65,15,0
pk290-00.1,11,3,54,-60,36,0
pk286+11.1,11,13,54,-47,57,0
pk148+57.1,11,14,48,55,1,0
pk295-09.1,11,17,48,-70,49,0
pk288+08.1,11,18,12,-52,10,0
pk289+07.1,11,24,0,-52,51,0
pk283+25.1,11,26,42,-34,23,0
pk291+03.1,11,27,24,-57,18,0
pk292+01.1,11,28,0,-59,58,0
pk290+07.1,11,28,36,-52,57,0
pk292+01.2,11,28,48,-60,7,0
