name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
sh2-164,23,38,25.3,59,58,13
sh2-165,23,39,48.1,61,56,15
sh2-166,23,42,9.8,60,58,17
sh2-167,23,35,21.8,64,51,11
sh2-168,23,53,3.5,60,28,23
sh2-169,23,53,58.0,60,22,23
sh2-170,0,1,42.0,64,37,24
sh2-171,0,4,40.0,67,9,24
sh2-172,0,15,32.2,61,15,21
sh2-173,0,21,51.8,61,44,17
sh2-174,23,46,49.1,80,56,20
sh2-175,0,27,18.6,64,42,13
sh2-176,0,31,38.3,57,17,9
sh2-177,0,31,32.4,62,28,9
sh2-178,22,18,55.4,87,45,41
sh2-179,0,40,24.6,62,51,58
sh2-180,0,48,46.3,62,55,45
sh2-181,0,49,16.5,65,12,44
sh2-182,0,50,16.4,64,44,42
sh2-183,0,53,59.1,65,42,35
sh2-184,0,52,50.1,56,36,37
sh2-185,0,60,0.0,60,59,23
sh2-186,1,8,50.7,63,8,2
sh2-187,1,23,7.0,61,51,24
sh2-188,1,30,38.6,58,22,1
sh2-189,2,12,7.6,64,10,18
sh2-190,2,33,22.7,61,26,32
sh2-191,2,36,38.7,59,38,14
sh2-192,2,47,13.3,61,59,17
sh2-193,2,47,32.5,62,0,15
sh2-194,2,47,19.1,61,56,17
sh2-195,2,40,5.1,59,38,56
sh2-196,2,51,18.8,62,13,53
sh2-197,2,41,54.8,59,38,46
sh2-198,2,50,1.0,59,42,1
sh2-199,2,54,32.9,60,24,34
sh2-200,3,10,44.7,62,48,55
sh2-201,3,3,10.3,60,28,42
sh2-202,3,18,50.8,59,38,3
sh2-203,3,22,0.3,54,52,40
sh2-204,3,55,45.6,57,25,45
sh2-205,3,56,7.7,53,11,40
sh2-206,4,3,13.1,51,19,46
sh2-207,4,20,4.0,53,8,37
sh2-208,4,19,45.5,52,58,39
sh2-209,4,11,3.0,51,9,47
sh2-210,4,30,59.0,52,33,10
sh2-211,4,36,57.3,50,56,22
sh2-212,4,40,37.3,50,22,52
sh2-213,4,20,42.9,44,55,30
sh2-214,4,21,34.8,44,22,22
sh2-215,4,17,32.8,42,36,54
sh2-216,4,44,56.9,46,49,15
sh2-217,4,58,47.1,48,0,20
sh2-218,5,41,16.4,52,11,18
sh2-219,4,56,7.3,47,23,43
sh2-220,4,0,37.5,36,37,2
sh2-221,5,1,39.3,46,20,56
