name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
lbn384,20,58,45.1,+45,41,42
lbn385,21,02,46.8,+45,11,54
lbn386,20,31,32.1,+49,30,13
lbn387,20,59,45.0,+45,51,45
lbn388,20,51,41.0,+47,11,20
lbn389,21,14,51.6,+43,42,30
lbn390,21,14,51.4,+43,52,30
lbn391,21,16,52.0,+43,42,36
lbn392,21,08,48.0,+45,12,13
lbn393,21,15,51.3,+44,02,33
lbn394,20,55,41.5,+47,23,32
lbn395,21,38,01.1,+40,03,33
lbn396,21,38,01.0,+40,08,33
lbn397,21,39,01.3,+40,01,36
lbn398,21,39,01.3,+40,03,36
lbn399,21,38,00.7,+40,21,33
lbn400,21,20,52.9,+43,42,47
lbn401,21,22,53.8,+43,22,53
lbn402,21,19,51.9,+44,12,45
lbn403,20,57,40.3,+48,14,39
lbn404,21,23,52.1,+44,42,56
lbn405,21,41,59.4,+42,13,43
lbn406,16,45,42.9,+60,14,39
lbn407,21,35,55.5,+44,13,28
lbn408,21,02,37.7,+50,11,54
lbn409,21,03,38.1,+50,06,57
lbn410,21,07,40.1,+49,37,09
lbn411,21,05,39.0,+49,55,03
lbn412,21,03,37.9,+50,14,57
lbn413,16,50,39.8,+60,45,00
lbn414,21,41,56.6,+44,25,43
lbn415,16,45,37.4,+61,24,39
lbn416,21,29,48.9,+47,43,12
lbn417,21,25,46.6,+48,33,01
lbn418,22,57,25.5,+24,16,04
lbn419,23,12,28.9,+19,16,20
lbn420,22,05,04.0,+42,44,37
lbn421,21,35,46.5,+50,13,28
lbn422,20,50,18.8,+56,46,16
lbn423,21,37,46.8,+50,21,33
lbn424,21,53,55.9,+47,14,12
lbn425,22,12,05.1,+43,14,51
lbn426,21,40,47.6,+50,23,41
lbn427,23,10,27.4,+23,36,18
lbn428,22,32,13.9,+38,15,28
lbn429,22,30,12.9,+39,05,24
lbn430,22,31,13.1,+39,05,26
lbn431,23,08,26.6,+25,26,16
lbn432,22,22,08.5,+42,15,10
lbn433,22,37,15.1,+38,05,36
lbn434,23,42,32.9,+09,16,39
lbn435,22,40,16.1,+37,35,40
lbn436,21,28,36.2,+54,33,09
lbn437,22,32,12.2,+40,35,28
lbn438,22,41,16.2,+37,45,42
lbn439,23,05,25.0,+28,36,13
lbn440,22,44,17.1,+37,15,46
lbn441,21,03,14.7,+59,32,57
lbn442,22,38,13.3,+41,05,37
lbn443,21,32,34.6,+55,53,20
lbn444,20,18,42.3,+63,49,29
lbn445,21,11,18.3,+59,17,21
lbn446,21,17,22.5,+58,35,38
lbn447,20,14,38.4,+64,19,14
lbn448,22,40,13.4,+41,35,40
lbn449,21,11,17.1,+59,42,21
lbn450,22,42,13.4,+42,15,43
lbn451,21,34,31.6,+57,28,25
lbn452,21,35,32.2,+57,23,27
lbn453,21,15,17.0,+60,12,32
lbn454,22,47,15.0,+41,45,50
lbn455,21,39,32.9,+57,43,38
lbn456,21,39,31.5,+58,18,38
lbn457,21,44,34.0,+58,03,50
lbn458,22,54,16.8,+41,36,00
lbn459,20,15,21.4,+67,19,17
lbn460,22,57,17.7,+41,16,03
lbn461,22,53,15.6,+43,05,58
lbn462,22,55,16.4,+42,36,01
lbn463,22,58,17.8,+41,36,05
lbn464,19,31,45.8,+69,56,31
lbn465,19,23,40.4,+70,15,58
lbn466,23,31,29.1,+28,36,34
lbn467,23,22,26.3,+33,46,28
lbn468,20,42,29.7,+67,50,52
lbn469,19,37,38.3,+70,56,55
lbn470,23,26,27.4,+32,16,31
lbn471,22,18,51.2,+56,05,04
lbn472,21,20,02.4,+64,52,46
lbn473,22,19,51.8,+55,55,06
lbn474,22,07,42.5,+58,24,42
lbn475,20,55,38.8,+67,21,34
lbn476,21,28,08.2,+64,23,08
lbn477,23,08,20.2,+41,46,16
lbn478,23,04,18.3,+43,26,11
lbn479,22,12,45.6,+57,54,53
lbn480,23,22,25.8,+35,16,28
lbn481,19,29,28.7,+71,36,22
lbn482,22,04,38.4,+59,44,36
lbn483,20,51,31.9,+68,11,21
lbn484,23,35,29.6,+29,06,36
lbn485,22,12,43.5,+58,59,53
lbn486,22,16,45.6,+58,49,00
lbn487,21,01,37.0,+68,11,53
lbn488,22,09,39.6,+60,14,46
lbn489,22,16,44.9,+59,10,00
lbn490,22,16,44.7,+59,15,00
lbn491,22,17,45.2,+59,15,02
lbn492,22,20,47.6,+58,40,08
lbn493,22,20,47.4,+58,45,08
lbn494,22,09,37.3,+61,14,46
lbn495,21,15,43.0,+68,27,34
lbn496,22,14,39.3,+61,24,56
lbn497,21,42,08.8,+66,03,45
lbn498,21,56,21.6,+64,34,18
lbn499,23,23,24.1,+41,36,28
lbn500,22,14,35.3,+63,04,56
lbn501,22,38,55.9,+58,25,39
lbn502,22,39,56.6,+58,13,40
lbn503,23,29,26.1,+40,01,32
lbn504,21,36,56.7,+68,08,32
lbn505,22,18,37.3,+63,05,04
lbn506,22,44,59.2,+57,55,47
lbn507,23,30,26.1,+40,46,33
lbn508,22,22,40.3,+62,42,11
lbn509,22,28,45.7,+61,35,22
lbn510,22,28,45.6,+61,40,22
lbn511,22,47,00.0,+58,00,50
lbn512,22,44,56.5,+59,49,47
lbn513,22,50,00.1,+58,55,54
lbn514,22,49,58.8,+59,53,54
lbn515,21,40,46.2,+70,33,42
lbn516,22,56,03.4,+58,31,02
lbn517,23,03,08.1,+57,06,10
lbn518,22,59,04.5,+58,45,06
lbn519,22,59,04.5,+58,47,06
lbn520,22,31,39.5,+65,05,27
lbn521,22,50,57.3,+61,15,56
lbn522,22,46,53.7,+62,15,50
lbn523,22,31,38.6,+65,27,27
lbn524,22,52,57.0,+62,10,58
lbn525,00,08,34.6,+21,06,42
lbn526,22,33,36.4,+66,45,30
lbn527,22,55,57.9,+62,36,02
lbn528,22,05,01.2,+70,54,37
lbn529,22,56,58.7,+62,26,03
lbn530,00,10,34.8,+20,36,41
lbn531,22,13,10.2,+70,15,54
lbn532,22,28,25.7,+69,05,22
lbn533,23,14,10.6,+59,46,21
lbn534,23,40,26.9,+48,46,38
lbn535,22,00,46.3,+72,54,29
lbn536,23,15,11.1,+59,46,22
lbn537,23,15,10.9,+59,56,22
lbn538,22,20,12.1,+71,00,07
lbn539,22,35,30.7,+69,05,33
lbn540,23,16,11.1,+60,16,23
lbn541,22,08,53.1,+72,52,46
lbn542,23,14,08.9,+61,29,21
lbn543,23,16,10.3,+61,06,23
lbn544,23,18,11.8,+60,36,24
lbn545,21,14,23.7,+77,02,32
lbn546,22,08,49.9,+73,22,46
lbn547,23,17,10.2,+61,46,24
lbn548,23,20,12.3,+61,11,26
lbn549,23,20,12.3,+61,11,26
lbn550,20,58,49.1,+78,11,47
lbn551,23,12,04.1,+64,36,19
lbn552,20,57,39.6,+78,36,43
lbn553,21,39,50.0,+76,56,41
lbn554,23,38,23.6,+56,57,37
lbn555,20,58,27.7,+79,11,46
lbn556,00,21,35.9,+19,56,38
lbn557,23,33,19.4,+60,46,35
lbn558,22,20,47.9,+75,15,09
lbn559,23,56,32.2,+49,36,42
lbn560,23,57,32.5,+49,46,42
lbn561,23,59,33.2,+48,28,42
lbn562,23,50,29.3,+54,56,41
lbn563,23,57,32.4,+50,41,42
lbn564,00,01,33.9,+48,36,42
lbn565,23,39,21.9,+61,55,37
lbn566,23,42,24.0,+60,54,39
lbn567,22,20,20.7,+78,10,08
lbn568,23,52,29.3,+60,26,41
lbn569,21,52,07.9,+80,24,11
lbn570,00,29,36.5,+18,26,35
lbn571,23,53,29.8,+60,28,41
lbn572,19,43,45.0,+83,37,31
lbn573,23,13,46.8,+73,56,21
lbn574,00,31,36.6,+17,56,33
lbn575,23,21,54.4,+74,06,27
lbn576,23,58,32.3,+62,16,42
lbn577,00,01,33.9,+64,39,42
lbn578,00,10,38.2,+58,46,41
lbn579,20,32,50.6,+85,00,32
lbn580,00,00,33.3,+67,26,42
lbn581,00,01,34.0,+67,11,42
lbn582,00,02,34.7,+67,16,42
lbn583,00,02,34.7,+67,16,42
lbn584,00,03,35.3,+66,56,42
lbn585,00,06,37.2,+65,37,42
lbn586,00,03,35.4,+67,26,42
lbn587,00,02,34.7,+68,36,42
lbn588,00,05,36.7,+67,06,42
lbn589,00,03,35.5,+68,36,42
lbn590,00,03,35.2,+65,36,42
lbn591,00,20,43.2,+59,16,38
lbn592,00,20,44.2,+61,46,38
lbn593,00,22,45.3,+61,46,38
lbn594,00,28,45.8,+56,41,35
lbn595,00,29,46.3,+56,44,34
lbn596,00,26,49.2,+64,36,36
lbn597,00,31,47.4,+57,16,33
lbn598,23,47,08.7,+80,56,40
lbn599,00,33,47.8,+56,16,32
lbn600,00,38,46.8,+50,16,29
lbn601,03,45,08.6,+32,19,22
lbn602,00,34,59.5,+69,26,31
lbn603,00,42,49.2,+52,16,26
lbn604,00,43,56.7,+61,56,25
lbn605,00,45,52.6,+55,46,23
lbn606,22,49,27.0,+88,46,02
lbn607,00,46,54.7,+57,56,22
lbn608,00,48,50.8,+51,16,21
lbn609,00,48,50.6,+51,01,21
lbn610,00,48,53.7,+55,36,21
lbn611,00,48,55.0,+57,16,21
lbn612,00,49,50.8,+50,41,20
lbn613,00,49,50.8,+50,46,20
lbn614,00,51,04.7,+65,16,19
lbn615,00,51,55.6,+56,26,18
lbn616,00,52,56.2,+56,36,17
lbn617,01,07,04.3,+86,16,04
lbn618,00,54,07.3,+65,46,16
lbn619,00,53,44.1,+34,36,16
lbn620,00,57,02.6,+61,06,13
lbn621,00,56,57.8,+56,29,13
lbn622,00,59,03.5,+60,56,11
lbn623,00,59,03.5,+60,56,11
lbn624,01,07,37.2,+73,31,01
lbn625,01,01,04.7,+61,06,08
lbn626,01,23,50.8,+73,15,39
lbn627,11,05,21.3,+84,13,49
lbn628,04,26,34.1,+85,57,10
lbn629,10,55,33.4,+83,44,01
lbn630,01,23,17.1,+61,50,39
lbn631,03,58,30.6,+85,08,52
lbn632,04,44,35.3,+85,05,54
lbn633,01,30,14.5,+58,22,28
lbn634,02,25,01.9,+75,23,34
lbn635,02,28,43.6,+73,03,24
lbn636,02,29,44.3,+73,03,22
lbn637,01,44,15.8,+55,35,03
lbn638,01,45,15.4,+55,05,01
lbn639,01,15,40.1,+16,35,50
lbn640,01,49,14.8,+53,44,54
lbn641,02,11,42.5,+62,34,05
lbn642,02,20,44.7,+61,53,44
lbn643,02,51,29.5,+68,52,21
lbn644,01,22,40.9,+17,15,40
lbn645,02,25,47.1,+61,58,31
lbn646,02,26,48.4,+62,13,28
lbn647,02,27,48.3,+62,03,26
lbn648,02,28,49.2,+62,13,23
lbn649,02,21,39.6,+59,55,41
lbn650,02,26,46.3,+61,33,28
lbn651,03,35,29.6,+73,10,00
lbn652,02,50,11.6,+65,32,24
lbn653,02,16,27.2,+55,23,54
lbn654,02,33,48.2,+61,13,10
