name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
ldn145,16,35,18.0,-12,16,0.0
ldn146,16,56,24.0,-16,0,0.0
ldn147,18,4,6.0,-26,10,0.0
ldn148,16,46,24.0,-14,10,0.0
ldn149,17,27,0.0,-20,53,0.0
ldn150,17,57,6.0,-25,0,0.0
ldn151,18,6,6.0,-26,10,0.0
ldn152,16,49,48.0,-14,35,0.0
ldn153,17,40,0.0,-22,37,0.0
ldn154,17,42,0.0,-22,51,0.0
ldn155,17,38,0.0,-22,17,0.0
ldn156,16,37,18.0,-12,16,0.0
ldn157,18,9,6.0,-26,24,0.0
ldn158,16,47,48.0,-14,5,0.0
ldn159,17,48,30.0,-23,41,0.0
ldn160,17,45,0.0,-23,11,0.0
ldn161,17,51,6.0,-24,1,0.0
ldn162,16,49,6.0,-14,15,0.0
ldn163,16,49,48.0,-14,20,0.0
ldn164,17,37,0.0,-21,52,0.0
ldn165,18,16,6.0,-26,59,0.0
ldn166,18,2,6.0,-25,10,0.0
ldn167,18,6,6.0,-25,40,0.0
ldn168,17,33,0.0,-21,2,0.0
ldn169,15,52,36.0,-3,19,0.0
ldn170,17,47,0.0,-23,1,0.0
ldn171,18,3,6.0,-25,10,0.0
ldn172,17,38,0.0,-21,37,0.0
ldn173,17,17,12.0,-18,23,0.0
ldn174,17,39,0.0,-21,42,0.0
ldn175,17,18,18.0,-18,31,0.0
ldn176,18,10,6.0,-25,49,0.0
ldn177,17,22,54.0,-19,13,0.0
ldn178,17,32,0.0,-20,32,0.0
ldn179,17,23,54.0,-19,18,0.0
ldn180,18,3,6.0,-24,45,0.0
ldn181,18,31,12.0,-28,5,0.0
ldn182,17,33,0.0,-20,32,0.0
ldn183,15,53,54.0,-3,9,0.0
ldn185,17,32,0.0,-20,17,0.0
ldn186,17,44,0.0,-22,1,0.0
ldn187,18,12,6.0,-25,44,0.0
ldn188,17,53,0.0,-23,11,0.0
ldn189,17,43,0.0,-21,41,0.0
ldn190,16,48,18.0,-12,55,0.0
ldn191,16,47,48.0,-12,45,0.0
ldn192,17,31,0.0,-19,47,0.0
ldn193,17,36,0.0,-20,32,0.0
ldn194,18,13,6.0,-25,29,0.0
ldn195,18,15,54.0,-25,44,0.0
ldn196,18,10,6.0,-24,59,0.0
ldn197,18,13,6.0,-25,20,0.0
ldn198,18,13,36.0,-25,22,0.0
ldn199,18,15,6.0,-25,27,0.0
ldn200,18,10,6.0,-24,49,0.0
ldn201,18,20,6.0,-25,59,0.0
ldn202,17,38,30.0,-20,22,0.0
ldn203,18,14,24.0,-25,10,0.0
ldn204,16,47,48.0,-12,5,0.0
ldn205,18,26,6.0,-26,23,0.0
ldn206,17,30,54.0,-19,2,0.0
ldn207,17,45,0.0,-21,1,0.0
ldn208,18,13,6.0,-24,39,0.0
ldn209,17,38,0.0,-19,52,0.0
ldn210,18,9,12.0,-24,7,0.0
ldn211,18,9,36.0,-24,9,0.0
ldn212,18,11,6.0,-24,19,0.0
ldn213,18,9,6.0,-24,0,0.0
ldn214,18,9,6.0,-23,58,0.0
ldn215,17,58,0.0,-22,30,0.0
ldn216,17,38,0.0,-19,40,0.0
ldn217,18,28,6.0,-26,8,0.0
ldn218,17,55,0.0,-21,58,0.0
ldn219,17,39,30.0,-19,47,0.0
ldn220,17,30,54.0,-18,28,0.0
ldn221,18,11,6.0,-23,59,0.0
ldn222,17,41,12.0,-19,46,0.0
ldn223,17,40,48.0,-19,43,0.0
ldn224,18,8,30.0,-23,29,0.0
ldn225,17,32,54.0,-18,32,0.0
ldn226,17,40,36.0,-19,40,0.0
ldn227,18,10,6.0,-23,39,0.0
ldn228,17,40,48.0,-19,38,0.0
ldn229,17,40,12.0,-19,31,0.0
ldn230,18,9,0.0,-23,27,0.0
ldn231,17,40,24.0,-19,32,0.0
ldn232,18,5,0.0,-22,50,0.0
ldn233,17,45,6.0,-20,1,0.0
ldn234,16,48,48.0,-11,5,0.0
ldn235,17,46,30.0,-20,11,0.0
ldn236,18,26,6.0,-25,18,0.0
ldn237,18,1,0.0,-22,10,0.0
ldn238,16,35,42.0,-8,46,0.0
ldn239,18,33,24.0,-26,1,0.0
ldn240,18,37,6.0,-26,22,0.0
ldn241,18,11,30.0,-23,19,0.0
ldn242,18,12,6.0,-23,24,0.0
ldn243,18,12,0.0,-23,19,0.0
ldn244,16,51,48.0,-11,15,0.0
ldn245,18,31,6.0,-25,28,0.0
ldn246,17,45,0.0,-19,31,0.0
ldn247,18,24,6.0,-24,33,0.0
ldn248,18,36,6.0,-25,47,0.0
ldn249,18,10,0.0,-22,29,0.0
ldn250,18,23,24.0,-24,8,0.0
ldn251,18,29,6.0,-24,48,0.0
ldn252,18,23,12.0,-24,3,0.0
ldn253,18,40,6.0,-25,57,0.0
ldn254,17,50,0.0,-19,41,0.0
ldn255,16,47,42.0,-9,55,0.0
ldn256,18,15,0.0,-22,59,0.0
ldn257,18,11,0.0,-22,24,0.0
ldn258,17,44,54.0,-18,51,0.0
ldn259,18,25,6.0,-23,59,0.0
ldn260,16,47,42.0,-9,35,0.0
ldn261,17,35,54.0,-17,12,0.0
ldn262,18,3,0.0,-21,0,0.0
ldn263,18,36,6.0,-24,57,0.0
ldn264,17,48,54.0,-18,51,0.0
ldn265,18,17,0.0,-22,29,0.0
ldn266,18,31,6.0,-24,8,0.0
ldn267,18,23,30.0,-23,8,0.0
ldn268,18,23,30.0,-23,8,0.0
ldn269,18,29,30.0,-23,48,0.0
ldn270,17,48,54.0,-18,21,0.0
ldn271,18,11,0.0,-21,19,0.0
ldn272,18,18,0.0,-22,9,0.0
ldn273,17,44,24.0,-17,36,0.0
ldn274,18,9,18.0,-20,57,0.0
ldn275,18,12,0.0,-21,11,0.0
ldn276,17,43,54.0,-17,21,0.0
ldn277,17,45,24.0,-17,29,0.0
ldn278,16,58,48.0,-10,15,0.0
ldn279,17,52,54.0,-18,31,0.0
ldn280,16,58,42.0,-10,5,0.0
ldn281,18,5,0.0,-20,0,0.0
ldn282,18,13,0.0,-20,59,0.0
ldn283,17,38,54.0,-16,2,0.0
ldn284,18,36,0.0,-23,27,0.0
ldn285,17,55,54.0,-18,20,0.0
ldn286,18,1,54.0,-19,10,0.0
ldn287,17,22,48.0,-13,23,0.0
ldn288,17,57,54.0,-18,30,0.0
ldn289,18,0,54.0,-18,50,0.0
ldn290,17,42,54.0,-16,1,0.0
ldn291,18,20,0.0,-20,59,0.0
