name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
b202,3,25,38,30,16,0.0
b203,3,25,50,30,46,0.0
b204,3,28,29,30,11,0.0
b205,3,28,32,31,6,0.0
b206,3,29,9,30,11,0.0
b207,4,4,35,26,20,0.0
b208,4,11,32,25,9,0.0
b209,4,12,23,28,19,0.0
b210,4,15,33,25,3,0.0
b211,4,17,12,27,48,0.0
b212,4,19,14,25,18,0.0
b213,4,21,10,27,3,0.0
b214,4,21,55,28,32,0.0
b215,4,23,34,25,2,0.0
b216,4,23,59,26,37,0.0
b217,4,27,38,26,7,0.0
b218,4,28,9,26,16,0.0
b219,4,34,0,29,35,0.0
b220,4,41,30,25,59,0.0
b221,4,44,0,31,44,0.0
b222,5,8,23,32,10,0.0
b223,5,21,28,8,19,0.0
b224,5,23,54,10,37,0.0
b225,5,28,0,11,36,0.0
b226,5,36,34,33,42,0.0
b227,6,7,23,19,39,0.0
b228,15,44,0,-34,30,0.0
b229,16,17,0,-27,18,0.0
b230,16,27,0,-16,47,0.0
b231,16,38,24,-35,25,0.0
b232,16,43,44,-39,49,0.0
b233,16,44,45,-35,24,0.0
b234,16,46,26,-30,28,0.0
b235,16,47,6,-44,28,0.0
b236,16,48,0,-29,48,0.0
b237,16,48,55,-29,58,0.0
b238,16,52,21,-23,7,0.0
b239,16,55,0,-31,7,0.0
b240,16,59,17,-35,21,0.0
b241,16,59,27,-30,11,0.0
b242,17,5,6,-32,25,0.0
b243,17,9,46,-29,34,0.0
b244,17,10,51,-28,24,0.0
b245,17,11,55,-29,24,0.0
b246,17,12,1,-22,39,0.0
b247,17,13,6,-30,15,0.0
b248,17,13,4,-28,59,0.0
b249,17,13,4,-29,9,0.0
b250,17,13,2,-28,24,0.0
b251,17,13,48,-20,9,0.0
b252,17,15,18,-32,8,0.0
b253,17,15,0,-22,33,0.0
b254,17,20,29,-30,7,0.0
b255,17,20,35,-23,27,0.0
b256,17,22,12,-28,49,0.0
b257,17,22,46,-35,37,0.0
b258,17,22,57,-34,43,0.0
b259,17,22,1,-19,17,0.0
b260,17,24,48,-25,37,0.0
b261,17,25,4,-23,2,0.0
b262,17,25,0,-22,36,0.0
b263,17,26,56,-42,46,0.0
b264,17,27,12,-25,31,0.0
b265,17,27,36,-25,11,0.0
b266,17,28,7,-20,56,0.0
b267,17,28,31,-25,13,0.0
b268,17,31,0,-20,30,0.0
b269,17,32,13,-22,45,0.0
b270,17,32,43,-19,35,0.0
b271,17,34,0,-34,15,0.0
b272,17,37,0,-23,24,0.0
b273,17,38,29,-33,20,0.0
b274,17,38,3,-22,43,0.0
b275,17,38,59,-32,19,0.0
b276,17,39,39,-19,49,0.0
b277,17,40,44,-23,4,0.0
b278,17,42,39,-32,18,0.0
b279,17,44,0,-22,33,0.0
b280,17,44,57,-20,43,0.0
b281,17,46,47,-23,43,0.0
b282,17,48,36,-23,27,0.0
b283,17,51,0,-33,52,0.0
b284,17,50,6,-14,22,0.0
b285,17,51,32,-12,52,0.0
