name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
abell155,1,10,18.0,-24,50,0.0
abell156,1,11,48.0,33,27,0.0
abell157,1,11,6.0,-14,25,0.0
abell158,1,11,48.0,16,53,0.0
abell159,1,12,0.0,-15,7,0.0
abell160,1,12,54.0,15,31,0.0
abell161,1,14,48.0,37,25,0.0
abell162,1,14,12.0,2,53,0.0
abell163,1,14,36.0,24,44,0.0
abell164,1,14,18.0,-3,46,0.0
abell165,1,15,24.0,32,36,0.0
abell166,1,14,36.0,-16,17,0.0
abell167,1,15,24.0,24,29,0.0
abell168,1,15,12.0,0,14,0.0
abell169,1,16,30.0,41,7,0.0
abell170,1,16,6.0,13,6,0.0
abell171,1,16,48.0,16,16,0.0
abell172,1,17,0.0,3,15,0.0
abell173,1,18,48.0,39,0,0.0
abell174,1,19,48.0,35,49,0.0
abell175,1,19,36.0,14,53,0.0
abell176,1,19,36.0,-8,9,0.0
abell177,1,20,0.0,-21,2,0.0
abell178,1,21,48.0,20,6,0.0
abell179,1,21,48.0,19,30,0.0
abell180,1,21,54.0,3,2,0.0
abell181,1,22,0.0,0,19,0.0
abell182,1,22,12.0,-6,55,0.0
abell183,1,21,54.0,-21,54,0.0
abell184,1,22,42.0,13,4,0.0
abell185,1,22,24.0,-21,28,0.0
abell186,1,22,42.0,-10,25,0.0
abell187,1,22,30.0,-19,13,0.0
abell188,1,22,48.0,-12,46,0.0
abell189,1,23,42.0,1,40,0.0
abell190,1,23,42.0,-9,51,0.0
abell191,1,24,24.0,20,56,0.0
abell192,1,24,18.0,4,30,0.0
abell193,1,25,6.0,8,43,0.0
abell194,1,25,36.0,-1,30,0.0
abell195,1,26,54.0,19,12,0.0
abell196,1,27,12.0,23,14,0.0
abell197,1,26,42.0,-18,6,0.0
abell198,1,27,0.0,-16,26,0.0
abell199,1,27,6.0,-17,47,0.0
abell200,1,28,0.0,15,14,0.0
abell201,1,28,6.0,16,33,0.0
abell202,1,27,54.0,7,18,0.0
abell203,1,28,18.0,1,54,0.0
abell204,1,28,36.0,-6,47,0.0
abell205,1,29,0.0,6,13,0.0
abell206,1,28,30.0,-25,35,0.0
abell207,1,29,6.0,-2,30,0.0
abell208,1,31,36.0,0,33,0.0
abell209,1,32,0.0,-13,36,0.0
abell210,1,32,18.0,-26,0,0.0
abell211,1,32,48.0,-4,2,0.0
abell212,1,34,18.0,4,29,0.0
abell213,1,35,24.0,20,37,0.0
abell214,1,34,18.0,-26,7,0.0
abell215,1,35,24.0,-23,28,0.0
abell216,1,36,42.0,-6,26,0.0
abell217,1,36,36.0,-8,4,0.0
abell218,1,36,36.0,-10,46,0.0
abell219,1,37,18.0,9,9,0.0
abell220,1,37,18.0,7,56,0.0
abell221,1,38,6.0,18,8,0.0
abell222,1,37,30.0,-13,0,0.0
abell223,1,38,0.0,-12,48,0.0
abell224,1,38,18.0,-6,58,0.0
abell225,1,38,54.0,18,53,0.0
abell226,1,39,0.0,-10,16,0.0
abell227,1,39,48.0,18,11,0.0
abell228,1,39,12.0,-10,4,0.0
abell229,1,39,24.0,-3,39,0.0
abell230,1,39,30.0,-11,23,0.0
abell231,1,40,36.0,24,31,0.0
abell232,1,40,6.0,-10,23,0.0
abell233,1,40,18.0,-1,51,0.0
abell234,1,41,0.0,18,55,0.0
abell235,1,40,12.0,-17,26,0.0
abell236,1,40,30.0,-11,52,0.0
abell237,1,41,0.0,0,16,0.0
abell238,1,40,54.0,-23,3,0.0
abell239,1,41,24.0,-11,47,0.0
abell240,1,41,54.0,7,38,0.0
abell241,1,41,36.0,-16,15,0.0
abell242,1,41,54.0,-14,19,0.0
abell243,1,42,30.0,-10,14,0.0
abell244,1,44,12.0,18,30,0.0
abell245,1,44,6.0,6,24,0.0
abell246,1,44,42.0,5,49,0.0
abell247,1,45,12.0,17,39,0.0
abell248,1,44,48.0,-2,16,0.0
abell249,1,46,42.0,20,4,0.0
abell250,1,47,0.0,19,42,0.0
abell251,1,46,24.0,-7,18,0.0
abell252,1,46,36.0,-2,42,0.0
abell253,1,47,48.0,20,40,0.0
abell254,1,47,12.0,-3,17,0.0
abell255,1,47,18.0,-1,59,0.0
abell256,1,47,36.0,-3,51,0.0
abell257,1,49,0.0,14,0,0.0
abell258,1,50,6.0,23,28,0.0
abell259,1,50,18.0,-12,0,0.0
abell260,1,51,54.0,33,10,0.0
abell261,1,51,24.0,-2,15,0.0
abell262,1,52,48.0,36,9,0.0
abell263,1,53,24.0,37,34,0.0
abell264,1,51,48.0,-25,47,0.0
abell265,1,52,24.0,-7,2,0.0
abell266,1,52,36.0,-4,9,0.0
abell267,1,52,54.0,1,3,0.0
abell268,1,53,24.0,-1,8,0.0
abell269,1,53,30.0,-4,20,0.0
abell270,1,53,48.0,-2,50,0.0
abell271,1,54,6.0,1,46,0.0
abell272,1,55,18.0,33,57,0.0
abell273,1,54,6.0,-23,33,0.0
abell274,1,54,42.0,-6,17,0.0
abell275,1,55,48.0,14,40,0.0
abell276,1,57,6.0,41,22,0.0
abell277,1,55,48.0,-7,23,0.0
abell278,1,57,18.0,32,14,0.0
abell279,1,56,24.0,1,4,0.0
abell280,1,56,30.0,-1,47,0.0
abell281,1,57,6.0,-5,51,0.0
abell282,1,57,0.0,-10,7,0.0
abell283,1,56,54.0,-22,3,0.0
abell284,1,57,54.0,-0,38,0.0
abell285,1,57,54.0,-3,44,0.0
abell286,1,58,24.0,-1,46,0.0
abell287,2,0,24.0,-7,52,0.0
abell288,2,1,42.0,18,26,0.0
abell289,2,0,42.0,-24,38,0.0
abell290,2,2,12.0,21,2,0.0
abell291,2,1,36.0,-2,11,0.0
abell292,2,2,30.0,19,6,0.0
abell293,2,2,0.0,3,47,0.0
abell294,2,2,12.0,5,25,0.0
abell295,2,2,30.0,-1,5,0.0
abell296,2,2,24.0,-3,8,0.0
abell297,2,2,6.0,-25,35,0.0
abell298,2,2,48.0,-9,21,0.0
abell299,2,4,48.0,0,20,0.0
abell300,2,5,18.0,17,51,0.0
abell301,2,5,18.0,-2,7,0.0
abell302,2,5,30.0,-24,47,0.0
abell303,2,6,12.0,-3,20,0.0
abell304,2,6,30.0,4,29,0.0
abell305,2,6,30.0,-14,56,0.0
abell306,2,7,6.0,-11,49,0.0
abell307,2,8,6.0,10,28,0.0
abell308,2,8,0.0,-3,22,0.0
abell309,2,8,18.0,3,0,0.0
abell310,2,8,30.0,5,28,0.0
abell311,2,9,12.0,19,43,0.0
abell312,2,9,36.0,4,52,0.0
abell313,2,10,6.0,2,54,0.0
abell314,2,9,36.0,-12,55,0.0
abell315,2,10,6.0,-1,1,0.0
abell316,2,9,54.0,-13,30,0.0
abell317,2,10,12.0,-8,33,0.0
abell318,2,12,54.0,26,27,0.0
abell319,2,11,48.0,-12,6,0.0
abell320,2,13,6.0,25,24,0.0
abell321,2,12,24.0,0,24,0.0
abell322,2,13,30.0,7,31,0.0
abell323,2,13,36.0,-2,52,0.0
abell324,2,13,42.0,-1,32,0.0
abell325,2,13,0.0,-25,17,0.0
abell326,2,13,42.0,-7,7,0.0
abell327,2,13,6.0,-26,7,0.0
abell328,2,13,54.0,-6,52,0.0
abell329,2,14,42.0,-4,32,0.0
abell330,2,15,24.0,10,21,0.0
abell331,2,15,36.0,11,23,0.0
abell332,2,15,30.0,-13,36,0.0
abell333,2,16,36.0,16,52,0.0
abell334,2,16,18.0,-4,12,0.0
abell335,2,16,6.0,-12,9,0.0
abell336,2,16,36.0,-2,7,0.0
abell337,2,17,54.0,17,32,0.0
abell338,2,17,30.0,-11,16,0.0
abell339,2,17,48.0,-9,6,0.0
abell340,2,18,24.0,-12,41,0.0
abell341,2,19,0.0,-16,49,0.0
abell342,2,19,48.0,2,44,0.0
abell343,2,19,6.0,-21,52,0.0
abell344,2,21,42.0,21,22,0.0
abell345,2,21,24.0,13,36,0.0
abell346,2,22,30.0,26,24,0.0
abell347,2,25,48.0,41,53,0.0
abell348,2,24,0.0,-8,36,0.0
abell349,2,26,24.0,36,50,0.0
abell350,2,25,0.0,-9,49,0.0
abell351,2,25,24.0,-8,43,0.0
abell352,2,28,6.0,-2,11,0.0
abell353,2,27,30.0,-22,4,0.0
abell354,2,28,36.0,1,26,0.0
abell355,2,28,12.0,-11,56,0.0
abell356,2,29,6.0,4,29,0.0
abell357,2,29,24.0,13,15,0.0
abell358,2,30,12.0,-13,12,0.0
abell359,2,30,54.0,2,50,0.0
abell360,2,31,18.0,6,59,0.0
abell361,2,31,30.0,2,53,0.0
abell362,2,31,36.0,-4,53,0.0
abell363,2,32,48.0,9,27,0.0
abell364,2,35,12.0,8,41,0.0
abell365,2,35,36.0,-1,26,0.0
abell366,2,35,42.0,-5,27,0.0
abell367,2,36,36.0,-19,24,0.0
abell368,2,37,24.0,-26,30,0.0
abell369,2,39,42.0,-3,32,0.0
abell370,2,39,48.0,-1,35,0.0
abell371,2,41,6.0,-11,13,0.0
abell372,2,43,36.0,41,52,0.0
abell373,2,43,24.0,28,1,0.0
abell374,2,43,30.0,4,15,0.0
abell375,2,44,54.0,29,4,0.0
abell376,2,45,48.0,36,52,0.0
abell377,2,46,0.0,27,49,0.0
abell378,2,45,0.0,-3,6,0.0
abell379,2,45,30.0,3,25,0.0
abell380,2,44,24.0,-26,16,0.0
abell381,2,46,0.0,-0,39,0.0
abell382,2,47,6.0,4,19,0.0
abell383,2,48,6.0,-3,31,0.0
abell384,2,48,12.0,-2,18,0.0
abell385,2,47,42.0,-21,50,0.0
abell386,2,50,0.0,-17,10,0.0
abell387,2,52,30.0,28,7,0.0
abell388,2,51,36.0,-3,46,0.0
abell389,2,51,18.0,-24,55,0.0
abell390,2,52,48.0,-14,58,0.0
abell391,2,53,30.0,-2,30,0.0
abell392,2,54,18.0,4,56,0.0
abell393,2,54,24.0,3,55,0.0
abell394,2,53,54.0,-14,40,0.0
abell395,2,54,30.0,-10,24,0.0
abell396,2,57,30.0,41,36,0.0
abell397,2,57,0.0,15,57,0.0
abell398,2,56,6.0,-15,42,0.0
abell399,2,57,54.0,13,1,0.0
abell400,2,57,36.0,6,2,0.0
abell401,2,58,54.0,13,35,0.0
abell402,2,57,36.0,-22,8,0.0
abell403,2,59,12.0,3,30,0.0
abell404,3,1,12.0,41,25,0.0
abell405,3,1,0.0,37,46,0.0
abell406,2,58,48.0,-19,37,0.0
abell407,3,1,42.0,35,51,0.0
abell408,3,2,42.0,32,26,0.0
abell409,3,3,18.0,1,54,0.0
abell410,3,3,54.0,3,49,0.0
abell411,3,4,36.0,1,1,0.0
abell412,3,6,18.0,-0,11,0.0
abell413,3,6,36.0,2,16,0.0
abell414,3,6,6.0,-14,28,0.0
abell415,3,6,48.0,-12,3,0.0
abell416,3,7,12.0,-16,45,0.0
abell417,3,7,36.0,-14,35,0.0
abell418,3,8,18.0,-13,45,0.0
abell419,3,8,30.0,-23,40,0.0
abell420,3,9,18.0,-11,32,0.0
abell421,3,10,36.0,9,49,0.0
abell422,3,10,18.0,-11,3,0.0
abell423,3,11,18.0,-12,7,0.0
abell424,3,12,12.0,-2,39,0.0
abell425,3,15,54.0,-11,45,0.0
abell426,3,18,36.0,41,31,0.0
abell427,3,18,12.0,34,27,0.0
abell428,3,16,0.0,-19,7,0.0
abell429,3,19,42.0,36,49,0.0
abell430,3,21,30.0,-15,20,0.0
abell431,3,21,36.0,-16,33,0.0
abell432,3,24,6.0,-5,49,0.0
abell433,3,24,36.0,-6,48,0.0
abell434,3,25,0.0,-9,28,0.0
abell435,3,26,0.0,-5,39,0.0
abell436,3,26,42.0,9,9,0.0
abell437,3,26,48.0,-2,45,0.0
abell438,3,28,36.0,-9,51,0.0
abell439,3,30,30.0,24,48,0.0
abell440,3,29,12.0,-10,37,0.0
abell441,3,30,36.0,-6,58,0.0
abell442,3,30,24.0,-12,55,0.0
abell443,3,31,36.0,-6,15,0.0
abell444,3,35,24.0,3,18,0.0
abell445,3,36,30.0,-2,53,0.0
abell446,3,37,12.0,-2,26,0.0
abell447,3,38,0.0,-5,7,0.0
abell448,3,38,42.0,-11,7,0.0
abell449,3,49,36.0,75,11,0.0
abell450,3,41,42.0,23,31,0.0
abell451,3,42,6.0,-2,25,0.0
abell452,3,45,48.0,1,41,0.0
abell453,3,44,42.0,-20,3,0.0
abell454,3,45,12.0,-13,0,0.0
abell455,3,46,36.0,7,52,0.0
abell456,3,45,24.0,-20,45,0.0
abell457,3,45,36.0,-20,9,0.0
abell458,3,45,48.0,-24,18,0.0
abell459,3,46,6.0,-20,19,0.0
abell460,3,46,36.0,-13,42,0.0
abell461,3,48,48.0,27,9,0.0
abell462,3,48,18.0,-17,40,0.0
abell463,3,49,12.0,-21,35,0.0
abell464,3,49,30.0,-17,49,0.0
abell465,3,51,0.0,6,19,0.0
abell466,3,52,18.0,25,14,0.0
abell467,3,50,18.0,-22,16,0.0
abell468,3,52,42.0,21,25,0.0
abell469,3,52,0.0,-22,11,0.0
abell470,3,55,12.0,-4,41,0.0
abell471,3,59,30.0,-13,40,0.0
abell472,4,3,42.0,-17,6,0.0
abell473,4,4,30.0,-17,28,0.0
abell474,4,7,54.0,-16,42,0.0
abell475,4,8,54.0,-9,24,0.0
abell476,4,11,24.0,-11,13,0.0
abell477,4,12,6.0,-1,52,0.0
abell478,4,13,18.0,10,30,0.0
abell479,4,14,18.0,-3,25,0.0
abell480,4,15,6.0,1,0,0.0
abell481,4,15,30.0,-9,57,0.0
abell482,4,16,30.0,-2,9,0.0
abell483,4,16,6.0,-11,33,0.0
abell484,4,16,18.0,-7,41,0.0
abell485,4,17,36.0,4,48,0.0
abell486,4,22,30.0,-4,56,0.0
abell487,4,22,48.0,-24,15,0.0
abell488,4,24,42.0,-5,17,0.0
abell489,4,26,24.0,-4,36,0.0
abell490,4,26,54.0,-20,43,0.0
abell491,4,29,30.0,-5,2,0.0
abell492,4,42,0.0,76,8,0.0
abell493,4,40,54.0,73,48,0.0
abell494,4,30,48.0,-7,45,0.0
abell495,4,30,0.0,-26,22,0.0
abell496,4,33,36.0,-13,16,0.0
abell497,4,36,54.0,10,39,0.0
abell498,4,37,48.0,21,13,0.0
abell499,4,37,12.0,-20,25,0.0
abell500,4,38,54.0,-22,6,0.0
abell501,4,42,6.0,8,24,0.0
abell502,4,50,24.0,69,48,0.0
abell503,4,41,24.0,-17,12,0.0
abell504,4,43,12.0,6,49,0.0
abell505,5,0,12.0,80,1,0.0
abell506,4,43,18.0,-9,43,0.0
abell507,4,43,12.0,-18,29,0.0
abell508,4,45,54.0,2,1,0.0
abell509,4,47,42.0,2,18,0.0
abell510,4,46,48.0,-21,1,0.0
abell511,4,46,42.0,-25,25,0.0
abell512,4,47,30.0,-18,18,0.0
abell513,4,48,12.0,-9,44,0.0
abell514,4,47,42.0,-20,27,0.0
abell515,4,49,36.0,6,10,0.0
abell516,4,50,6.0,-8,50,0.0
abell517,4,50,30.0,-9,15,0.0
abell518,4,51,24.0,-10,43,0.0
abell519,4,53,48.0,0,42,0.0
abell520,4,54,18.0,2,58,0.0
abell521,4,54,12.0,-10,15,0.0
abell522,4,57,0.0,-6,9,0.0
abell523,4,59,0.0,8,46,0.0
abell524,4,57,48.0,-19,43,0.0
abell525,4,59,36.0,8,9,0.0
abell526,4,59,54.0,5,27,0.0
abell527,5,10,18.0,73,42,0.0
abell528,4,59,18.0,-9,1,0.0
abell529,5,0,42.0,6,11,0.0
abell530,5,0,30.0,-0,52,0.0
abell531,5,1,18.0,-3,33,0.0
abell532,5,3,12.0,11,58,0.0
abell533,5,1,30.0,-22,37,0.0
abell534,5,15,18.0,73,31,0.0
abell535,5,7,30.0,-2,35,0.0
abell536,5,7,48.0,-9,14,0.0
abell537,5,24,42.0,73,54,0.0
abell538,5,15,18.0,-15,42,0.0
abell539,5,16,36.0,6,28,0.0
abell540,5,25,30.0,-25,42,0.0
abell541,5,34,6.0,64,25,0.0
abell542,5,37,54.0,64,2,0.0
abell543,5,30,36.0,-22,25,0.0
abell544,5,30,54.0,-25,57,0.0
abell545,5,32,18.0,-11,33,0.0
abell546,5,42,30.0,66,28,0.0
abell547,5,37,24.0,-14,25,0.0
abell548,5,47,6.0,-25,38,0.0
abell549,5,56,36.0,65,42,0.0
abell550,5,52,36.0,-21,4,0.0
abell551,5,54,54.0,-17,46,0.0
abell552,6,9,24.0,76,20,0.0
abell553,6,12,36.0,48,36,0.0
abell554,6,18,42.0,67,27,0.0
abell555,6,17,12.0,-17,16,0.0
abell556,6,28,36.0,67,2,0.0
abell557,6,30,18.0,69,13,0.0
abell558,6,38,48.0,73,35,0.0
abell559,6,40,6.0,69,42,0.0
abell560,6,43,0.0,67,52,0.0
abell561,6,43,54.0,69,1,0.0
abell562,6,51,54.0,69,16,0.0
abell563,6,57,54.0,69,1,0.0
abell564,7,0,42.0,69,49,0.0
abell565,7,7,24.0,71,45,0.0
abell566,7,4,30.0,63,18,0.0
abell567,7,1,36.0,32,50,0.0
abell568,7,7,36.0,35,3,0.0
abell569,7,9,12.0,48,38,0.0
abell570,7,17,36.0,70,21,0.0
abell571,7,18,54.0,71,54,0.0
abell572,7,14,12.0,54,41,0.0
abell573,7,17,24.0,67,33,0.0
abell574,7,20,0.0,70,58,0.0
abell575,7,30,18.0,79,12,0.0
abell576,7,21,24.0,55,44,0.0
abell577,7,33,12.0,78,56,0.0
abell578,7,25,0.0,67,0,0.0
abell579,7,21,18.0,36,45,0.0
abell580,7,25,54.0,41,25,0.0
abell581,7,25,42.0,11,6,0.0
abell582,7,28,12.0,41,59,0.0
abell583,7,28,48.0,43,3,0.0
abell584,7,28,36.0,26,42,0.0
abell585,7,31,0.0,40,52,0.0
abell586,7,32,18.0,31,38,0.0
abell587,7,33,0.0,39,27,0.0
abell588,7,39,0.0,69,57,0.0
abell589,7,41,18.0,63,30,0.0
abell590,7,37,30.0,35,17,0.0
abell591,7,42,0.0,43,58,0.0
abell592,7,42,36.0,9,23,0.0
abell593,7,52,0.0,72,50,0.0
abell594,7,44,48.0,11,5,0.0
abell595,7,48,48.0,52,4,0.0
abell596,7,56,42.0,72,38,0.0
abell597,7,52,0.0,35,22,0.0
abell598,7,50,54.0,17,40,0.0
abell599,7,57,30.0,68,52,0.0
abell600,7,56,24.0,63,46,0.0
abell601,7,53,24.0,34,20,0.0
abell602,7,53,18.0,29,22,0.0
abell603,7,55,48.0,33,45,0.0
abell604,7,59,12.0,61,22,0.0
abell605,7,56,18.0,27,24,0.0
abell606,7,57,6.0,35,57,0.0
abell607,7,57,30.0,39,20,0.0
abell608,8,2,12.0,63,47,0.0
abell609,8,2,18.0,63,33,0.0
abell610,7,59,18.0,27,8,0.0
abell611,8,1,0.0,36,6,0.0
abell612,8,1,0.0,34,50,0.0
abell613,8,2,30.0,45,10,0.0
abell614,8,1,6.0,17,59,0.0
abell615,8,2,48.0,31,45,0.0
abell616,8,4,18.0,46,48,0.0
abell617,8,14,12.0,77,19,0.0
abell618,8,9,0.0,67,33,0.0
abell619,8,2,36.0,-2,13,0.0
abell620,8,5,42.0,45,41,0.0
abell621,8,11,18.0,70,2,0.0
abell622,8,7,24.0,48,1,0.0
abell623,8,5,36.0,-0,58,0.0
abell624,8,17,48.0,76,53,0.0
abell625,8,28,12.0,82,22,0.0
abell626,8,10,42.0,49,13,0.0
abell627,8,9,18.0,34,44,0.0
abell628,8,10,6.0,35,14,0.0
abell629,8,15,0.0,66,26,0.0
abell630,8,11,6.0,40,20,0.0
abell631,8,11,12.0,35,59,0.0
abell632,8,9,36.0,4,56,0.0
abell633,8,15,30.0,63,45,0.0
abell634,8,14,36.0,58,3,0.0
abell635,8,11,6.0,16,43,0.0
abell636,8,20,42.0,72,46,0.0
abell637,8,15,0.0,48,23,0.0
abell638,8,13,6.0,13,26,0.0
abell639,8,19,54.0,67,56,0.0
abell640,8,15,0.0,29,35,0.0
abell641,8,15,30.0,22,50,0.0
