name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
ic5108,21,32,51.5,-72,39,34.9
ic5109,21,33,42.71,-74,6,43.2
ic5110,21,30,43.39,-60,0,6.6
ic5111,21,28,10.76,2,28,25.5
ic5113,21,29,39.49,6,49,4.8
ic5114,21,34,7.94,-36,39,13.4
ic5115,21,30,57.29,11,45,48.6
ic5116,21,37,5.5,-70,58,57.2
ic5117,21,32,30.97,44,35,47.6
ic5118,21,42,13.8,-71,22,57.7
ic5119,21,33,55.85,21,50,16.5
ic5120,21,38,48.27,-64,21,0.7
ic5121,21,41,19.28,-63,54,31.3
ic5122,21,39,45.87,-22,24,23.5
ic5123,21,44,49.35,-72,25,14.7
ic5124,21,39,55.19,-22,25,37.0
ic5125,21,41,50.18,-52,46,25.0
ic5126,21,40,28.57,-6,20,44.7
ic5127,21,39,44.49,6,17,10.7
ic5128,21,43,11.77,-38,58,5.8
ic5129,21,47,46.58,-65,23,16.1
ic5130,21,50,24.27,-73,59,50.7
ic5131,21,47,25.31,-34,53,1.2
ic5132,21,42,40.21,66,10,6.4
ic5133,21,42,47.14,66,10,52.1
ic5134,21,42,58.68,66,6,10.2
ic5135,21,48,19.52,-34,57,4.5
ic5136,21,49,46.01,-34,52,34.6
ic5137,21,51,37.46,-65,35,1.2
ic5138,21,53,21.69,-68,57,13.1
ic5139,21,50,25.66,-30,59,41.0
ic5140,21,54,16.03,-67,19,53.0
ic5141,21,53,17.04,-59,29,36.8
ic5142,21,55,20.49,-65,30,36.1
ic5143,21,56,9.73,-49,31,19.0
ic5144,21,54,9.53,15,2,12.6
ic5145,21,54,23.06,15,9,24.6
ic5146,21,53,28.76,47,16,0.9
ic5147,21,59,26.32,-65,26,59.5
ic5148,21,59,35.2,-39,23,9.0
ic5149,21,58,59.04,-27,24,50.1
ic5150,21,59,35.2,-39,23,9.0
ic5151,21,58,52.6,3,45,41.3
ic5152,22,2,41.51,-51,17,47.2
ic5153,22,0,23.56,17,51,50.1
ic5154,22,4,30.29,-66,6,44.6
ic5155,22,2,6.26,0,29,17.8
ic5156,22,3,14.87,-33,50,18.4
ic5157,22,3,27.0,-34,56,30.6
ic5158,22,6,24.77,-67,31,1.2
ic5159,22,2,39.89,0,19,8.4
ic5160,22,3,4.84,10,55,29.5
ic5161,22,5,39.01,9,38,24.6
ic5162,22,8,3.08,-52,42,49.9
ic5163,22,5,47.38,27,5,7.8
ic5164,22,5,58.2,27,2,50.9
ic5165,22,10,7.08,-64,34,40.9
ic5166,22,6,6.84,27,4,4.8
ic5167,22,7,31.79,-8,7,21.4
ic5168,22,8,45.54,-27,51,23.3
ic5169,22,10,9.98,-36,5,19.0
ic5170,22,12,29.64,-47,13,19.0
ic5171,22,10,56.7,-46,4,53.3
ic5172,22,9,55.51,12,49,5.0
ic5173,22,14,41.4,-69,21,59.0
ic5173a,22,14,44.57,-69,21,55.4
ic5173b,22,14,38.67,-69,22,3.9
ic5174,22,12,44.67,-38,10,17.0
ic5175,22,12,48.23,-38,7,38.8
ic5176,22,14,55.93,-66,50,57.9
ic5177,22,11,34.27,11,47,45.4
ic5178,22,12,33.35,-22,57,14.6
